embeddings	embedding_dimention	activation_function	epochs	pca	accuracy	precision	recall	f1_score
word2vec	300				0.840753	0.880608	0.904687	0.892486
glove	300				0.825342	0.867825	0.897656	0.882488
numberbatch	300				0.748288	0.791522	0.889844	0.837808
word2vec	10	tanh	50	pca	0.786530	0.843703	0.868750	0.856043
word2vec	10	tanh	50	nopca	0.821347	0.863261	0.897656	0.880123
word2vec	10	tanh	100	pca	0.795091	0.843913	0.882812	0.862925
word2vec	10	tanh	100	nopca	0.817922	0.881652	0.867188	0.874360
word2vec	10	tanh	200	pca	0.804224	0.849366	0.889844	0.869134
word2vec	10	tanh	200	nopca	0.805365	0.853273	0.885938	0.869299
word2vec	10	tanh	300	pca	0.797374	0.857143	0.867188	0.862136
word2vec	10	tanh	300	nopca	0.797374	0.878168	0.839063	0.858170
word2vec	10	tanh	400	pca	0.739726	0.830128	0.809375	0.819620
word2vec	10	tanh	400	nopca	0.809361	0.858877	0.884375	0.871440
word2vec	10	tanh	500	pca	0.754566	0.807971	0.871094	0.838346
word2vec	10	tanh	500	nopca	0.791096	0.869144	0.840625	0.854647
word2vec	10	relu	50	pca	0.786530	0.868893	0.833594	0.850877
word2vec	10	relu	50	nopca	0.794521	0.854391	0.866406	0.860357
word2vec	10	relu	100	pca	0.791667	0.850575	0.867188	0.858801
word2vec	10	relu	100	nopca	0.803653	0.846154	0.893750	0.869301
word2vec	10	relu	200	pca	0.805936	0.872425	0.860156	0.866247
word2vec	10	relu	200	nopca	0.802511	0.859784	0.871875	0.865787
word2vec	10	relu	300	pca	0.788813	0.859968	0.849219	0.854560
word2vec	10	relu	300	nopca	0.816210	0.881369	0.864844	0.873028
word2vec	10	relu	400	pca	0.807078	0.863426	0.874219	0.868789
word2vec	10	relu	400	nopca	0.767123	0.808782	0.892188	0.848440
word2vec	10	relu	500	pca	0.789954	0.848624	0.867188	0.857805
word2vec	10	relu	500	nopca	0.750000	0.832543	0.823438	0.827965
word2vec	10	sigmoid	50	pca	0.805365	0.872915	0.858594	0.865695
word2vec	10	sigmoid	50	nopca	0.828767	0.867868	0.903125	0.885145
word2vec	10	sigmoid	100	pca	0.793950	0.863816	0.852344	0.858042
word2vec	10	sigmoid	100	nopca	0.832192	0.875190	0.898438	0.886662
word2vec	10	sigmoid	200	pca	0.791096	0.848323	0.869531	0.858796
word2vec	10	sigmoid	200	nopca	0.826484	0.877709	0.885938	0.881804
word2vec	10	sigmoid	300	pca	0.788242	0.859289	0.849219	0.854224
word2vec	10	sigmoid	300	nopca	0.789954	0.846505	0.870313	0.858243
word2vec	10	sigmoid	400	pca	0.797945	0.857253	0.867969	0.862578
